நடிகர்,அறிமுகஆண்டு,அறிமுகதிரைபடம்,பாலினம்,குறிப்பிடத்தக்க படங்கள்,பிறப்பு,அகவை,பிறந்த இடம்,பணி,திரைப்பட எண்ணிக்கை
சத்யராஜ்,1978,சட்டம் என் கையில்,ஆண்,"வேதம் புதிது, வால்டர் வெற்றிவேல், மலபார் போலீஸ், பெரியார், ஒன்பது ரூபாய் நோட்டு, குங்குமப்பொட்டுக் கவுண்டர், இங்கிலிஸ்காரன், சுயேட்சை எம்.எல்.ஏ, வில்லாதி வில்லன், ஏற்போட், நண்பன், நூறாவது நாள், பூவிழி வாசலிலே, அண்ணா நகர் முதல் தெரு, சின்னதம்பி பெரியதம்பி, ஜல்லிக்கட்டு, அமைதிப்படை, நாகராஜசோழன் எம்ஏ எம்எல்ஏ, கடலோரக் கவிதைகள், ரிக்சா மாமா",1954,67,"கோயமுத்தூர், தமிழ்நாடு, இந்தியா","திரைப்பட நடிகர், இயக்குனர், தயாரிப்பாளர்",75
பார்த்திபன்,1961,நல்லவன் வாழ்வான்,ஆண்,"புதிய பாதை, உள்ளே வெளியே, ஹவுஸ்ஃபுல், இவன், குடைக்குள் மழை, வித்தகன்', பாரதி கண்ணம்மா, வாய்மையே வெல்லும், நீ வருவாய் என, உன்னை கொடு என்னை தருவேன்",1957,63,"சென்னை, தமிழ்நாடு, இந்தியா","நடிகர், இயக்குனர்",87
ஜனகராஜ்,1982,பார்வை ,ஆண்,"பார்வை, பின் தொடர்ந்த அபூர்வ பேரர்கள், மீண்டும் கோகிலா , சிந்து பைரவி, ராஜாதி ராஜா , அபூர்வ சகோதரர்கள், அக்னி நட்சத்திரம் , மற்றும் புதுப் புது அர்த்தங்கள் ",1955,66,"சென்னை, தமிழ்நாடு, இந்தியா",நகைச்சுவை நடிகர்,45
அர்ஜுன்,1985,வேஷம் ,ஆண்,"முதல்வன், அண்ணன் என்னடா தம்பி என்னடா, சங்கர் குரு, மேட்டுப்பட்டி மிராசு, என் சபதம், ஹனுமான், துருவ நட்சத்திரம், எங்கள் குரல், என் தங்கை,எங்க ஊரு தம்பி, நீதிக்கு விலங்கு, நான்தான் ராஜா, சிவப்பு கிளி, சொந்தக்காரன், முதல் குரல், முதல் உதயம், நாகம், இராஜநாகம், துரை, காந்திபுரம், மீனவன், லாரி டிரைவர், தங்கத்தாமரைகள், பெரிய இடத்து பிள்ளை, மனைவி ஒரு மாணிக்கம், பாட்டாளி மகன், தென்னாட்டு வேங்கை, எங்க ஊரு சிப்பாய், சாது, சுபாஷ், சுதந்திரம், சூர்யபார்வை, வந்தேமாதரம், பொம்மலாட்டம், எடுத்த சபதம் முடிப்பேன், சட்டம் ஒரு சதுரங்கம், சிறைக்கைதி",1964,57,"சென்னை, தமிழ்நாடு, இந்தியா","நடிகர், தயாரிப்பாளர்",91
பிரபு,1983,சின்ன தம்பி,ஆண்,"சின்ன தம்பி, குரு சிஷ்யன் 1988, சந்திரமுகி, வசூல்ராஜா எம்.பி.பி.எஸ், சம்திங் சம்திங் உனக்கும் எனக்கும், அக்னி நட்சத்திரம், அஞ்சலி, பந்தா பரமசிவம், தாமிரபரணி, பில்லா 2007, அரங்கேற்ற வேளை, ராவணன், அயன், சிலம்பாட்டம், 4",1956,65,"சென்னை, தமிழ்நாடு, இந்தியா","நடிகர், தயாரிப்பாளர்",92
விஜயகாந்த்,1979,அகல் விளக்கு,ஆண்,"தமிழ்ச் செல்வன், தாயகம், தர்மச்சக்கரம், உளவுத்துறை, வீரம் விளைஞ்ச மண்ணு, தர்மா, பெரியண்ணா, கள்ளழகர், கண்ணுபடப்போகுதய்யா, வானத்தைப் போல, சிம்மாசனம், வல்லரசு, வாஞ்சிநாதன், நரசிம்மா, தவசி, ராஜ்ஜியம், தேவன், ரமணா, சொக்கத்தங்கம், தென்னவன், எங்கள் அண்ணா, சுதேசி,பேரரசு, தர்மபுரி, சபரி, அரசாங்கம், விருதகிரி, தமிழன் என்று சொல்",1952,69,"விருதுநகர், தமிழ்நாடு","நடிகர், தயாரிப்பாளர்",67
பாக்யராஜ்,1977,16 வயதினிலே,ஆண்,"16 வயதினிலே, கிழக்கே போகும் ரயில், சிகப்பு ரோஜாக்கள்சிகப்பு ரோஜாக்கள், புதிய வார்ப்புகள், கன்னிப்பருவத்திலே , சுவர் இல்லாத சித்திரங்கள், குமரி பெண்ணின் உள்ளத்திலே, மௌன கீதங்கள்",1953,68,"வெள்ளன்கோயில்,கோபிசெட்டிபாளையம், தமிழ்நாடு, இந்தியா","  நடிகர், வசன எழுத்தாளர் , திரைக்கதை அமைப்பாளர் , இயக்குனர், தயாரிப்பாளர்",75
பாண்டியராஜன்,1985,கன்னிராசி,ஆண்,"கை வந்த கலை,  கபடி கபடி,  டபுள்ஸ், கோபாலா கோபாலா, சுப்பிரமணிய சாமி ,  நெத்திஅடி, மனைவி ரெடி, ஆண்பாவம்,  கன்னிராசி",1959,62,"சைதாப்பேட்டை, சென்னை, தமிழ்நாடு, இந்தியா"," நடிகர், இயக்குனர், இசை இயக்குநர்",77
சரத்பாபு,1977,பட்டினப்பிரவேசம் ,ஆண்,"பட்டினப்பிரவேசம், நிழல் நிஜமாகிறது, முள்ளும் மலரும், நினைத்தாலே இனிக்கும் / அந்தமைன அனுபவம், உதிரிப்பூக்கள், சரணம் ஐயப்பா, நெற்றிக்கண், 47 நாட்கள் / 47 ரோஜூலு, சட்டம், மனக்கணக்கு, அண்ணாமலை, முத்து,லவ் பேர்ட்ஸ், ஆளவந்தான், பாபா ",1951,70,"ஆந்திரப் பிரதேசம், இந்தியா",நடிகர்,65
கமலஹாசன்,1960, களத்தூர் கண்ணம்மா,ஆண்,"களத்தூர் கண்ணம்மா, பார்த்தால் பசி தீரும், கண்ணும் கரளும், பாத காணிக்கை, ஆனந்த ஜோதி, மாணவன், அன்னை வேளாங்கண்ணி, அரங்கேற்றம், சொல்லத்தான் நினைக்கிறேன் ",1955,66,"பரமக்குடி, இராமநாதபுரம், மதராசு மாகாணம், இந்தியா","நடிகர், தயாரிப்பாளர், இயக்குனர், திரைக்கதை, பின்னணி பாடகர், பாடலாசிரியர், தொலைக்காட்சி தொகுப்பாளர், நடனமாடுபவர், அரசியல்வாதி",78
ரஜினிகாந்த்,1975,அபூர்வ ராகங்கள் ,ஆண்,"முள்ளும் மலரும், மூன்று முகம், நல்லவனுக்கு நல்லவன், முத்து,  படையப்பா, சந்திரமுகி, சிவாஜி",1950,70,"கர்நாடகா, இந்தியா",நடிகர்,88
தேங்காய் சீனிவாசன்,1965,ஒரு விரல்,ஆண்,"உதய கீதம், கை கொடுக்கும் கை, தங்க மகன், ராம லக்‌ஷ்மன், தில்லு முல்லு, டிக் டிக் டிக், கழுகு, பில்லா, ஆறிலிருந்து அறுவது வரை, அன்பே சங்கீதா, தர்ம யுத்தம், பிரியா, தியாகம், வாழ நினைத்தால் வாழலாம், அன்னக்கிளி, பல்லாண்டு வாழ்க, காசேதான் கடவுளடா, எதிர் நீச்சல், ஒரு விரல்",1937,70,"கர்நாடகம், இந்தியா",நடிகர்,41
ரேணுகா மேனன்,2005,தாஸ்,பெண்,"பதாக, வர்கம், பிரீடம், மீராயுடே துக்கவும் முத்துவின்றே ஸ்வப்னவும், நம்மள் , அபர்னா, தாஸ், பெப்ரவரி 14, கலாபக் காதலன்",1985,37,கேரளம், நடிகை,33
ரிச்சா பலோட்,2001,சாஜாகான்,பெண்," லம்மே, பர்தேஸ், சாஜாகான், அல்லி அர்ஜுனா, காதல் கிறுக்கன், ஜோட்டா, சம்திங் சந்திங் உனக்கும் எனக்கும்",1980,41,"மும்பை, இந்தியா", நடிகை,10
சௌந்தர்யா,1993,பொன்னுமணி,பெண்,"அருணாச்சலம், படையப்பா, காதலா காதலா, பொன்னுமணி, தவசி",1972,49,"கோலார், கருநாடகம், இந்தியா", நடிகை,13
வேதிகா,2005,மதராசி,பெண்," மதராசி, முனி, காளை,  சக்கரகட்டி",1987,34,மும்பை இந்தியா, நடிகை,21
அனுஷ்கா செட்டி,2006,ரெண்டு,பெண்,"பாகுபலி 2, ருத்ரமாதேவி, என்னை அறிந்தால், லிங்கா, இரண்டாம் உலகம், மிர்ச்சி,  அலெக்ஸ் பாண்டியன், தாண்டவம், சகுனி, தெய்வத்திருமகள்",1981,39,"மங்களூர்,கர்நாடகா இந்தியா","நடிகை, யோகாசன ஆசிரியை, பின்னணிப் பாடகி",28
சந்தியா,2004,காதல்,பெண்,"காதல், டிஷ்யூம், வல்லவன், கூடல் நகர், கண்ணாமூச்சி ஏனடா, தூண்டில், வெள்ளித்திரை, மகேஷ் சரண்யா மற்றும் பலர், மஞ்சள் வெயில், ஓடிப்போலாமா, இரும்புக் கோட்டை முரட்டு சிங்கம், நூற்றுக்கு நூறு",1988,33,கேரளம்,நடிகை,19
ஜெனிலியா,2003,பாய்ஸ்,பெண்,"பாய்ஸ், செல்லமே, காதல், பிப்ரவரி 14, பட்டியல், அழகாய் இருக்கிறாய் பயமாய் இருக்கிறது, எம் மகன், சென்னை காதல்,  கூடல் நகர்",1987,34,"மும்பை, இந்தியா",நடிகை,23
நயன்தாரா,2005,ஐயா,பெண்," ஐயா, சந்திரமுகி, சிவகாசி,  கஜினி,  கள்வனின் காதலி,  வல்லவன், தலைமகன்,  சிவாஜி, பில்லா, யாரடி நீ மோகினி, குசேலன், ஆதவன்",1984,36,"பெங்களூர், கருநாடகம்,",நடிகை,30
பாவனா,2006,சித்திரம் பேசுதடி,பெண்,"சித்திரம் பேசுதடி, வெயில், அசல், ஜெயம்கொண்டான், வாழ்த்துக்கள்,  ராமேஸ்வரம், ஆர்யா, கூடல் நகர்,  தீபாவளி, கிழக்கு கடற்கரை சாலை",1986,35,"திருச்சூர், கேரளா  இந்தியா",நடிகை,18
நவ்யா நாயர்,2004,அழகிய தீயே,பெண்,"அழகிய தீயே , ஆடம் கூத்து",1985,37,"கேரளா, இந்தியா"," நடிகை, நடன கலைஞர்",22
சதா,2003,ஜெயம்,பெண்,"ஜெயம், எதிரி, வர்ணஜாலம், அன்னியன், பிரியசகி, திருப்பதி, உன்னாலே உன்னாலே",1984,37,"இரத்தினகிரி, மகாராஷ்டிரம், இந்தியா",நடிகை,28
ஷ்ரேயா,2003,எனக்கு 20 உனக்கு 18,பெண்,"இஷ்டம், சந்தோசம், எனக்கு 20 உனக்கு 18, நீ மனசு நாக்கு தெலுசு, மழை, திருவிளையாடல் ஆரம்பம், சிவாஜி, அழகிய தமிழ் மகன்",1982,39,"தேராதூன்,இந்தியா",நடிகை,26
ஷ்ரேயா ரெட்டி,2006,வெயில்,பெண்,"சில சமயங்களில், காஞ்சிவரம், பள்ளிக்கூடம், வெயில், திமிரு, சாமுராய்",1983,38,"ஐதராபாத்து, ஆந்திரப் பிரதேசம், இந்தியா","நடிகை, நிகழ்ச்சி தொகுப்பாளர்",23
பத்மபிரியா,2005,தவமாய் தவமிருந்து,பெண்,"அமிர்தம், தவமாய் தவமிருந்து, பட்டியல், சத்தம் போடாதே, பரதேசி, மிருகம்,  பொக்கிசம், இரும்புக் கோட்டை முரட்டு சிங்கம்",1980,41,"தில்லி, இந்தியா"," நடிகை, மாடல்",31
அசின்,2004,எம். குமரன் சன் ஆஃவ் மஹாலஷ்மி,பெண்,"கஜினி , வரலாறு, போக்கிரி, வேல், தசாவதாரம் ",1985,36,"கொச்சி, கேரளம், இந்தியா","நடிகை, விளம்பர அழகி",32
கோபிகா,2004,ஆட்டோகிராஃப்,பெண்,"வீராப்பு, எம் மகன், அரண், தொட்டி ஜெயா, பொன்னியின் செல்வன், கனா கண்டேன், ஆட்டோகிராப், 4 ஸ்டூடெண்ட்ஸ்",1985,36,"ஒல்லூர், திருச்சூர், கேரளம்",நடிகை,44
மீரா ஜாஸ்மின்,2002,ரன்,பெண்,"நேப்பாளி, பரட்டை என்கிற அழகுசுந்தரம், திருமகன், மெர்க்குரி பூக்கள், சண்டக்கோழி, கஸ்தூரி மான், ஆய்த எழுத்து,  ஜூட், ஆஞ்சனேயா",1982,39,"கோழிக்கோடு,கேரளா,  இந்தியா",நடிகை,12
மீனா,1999,ஆனந்த பூங்காற்றே,பெண்,"என் ராசாவின் மனசிலே, எஜமான், அவ்வை சண்முகி, வீரா, முத்து, சிட்டிசன், ரிதம், வில்லன், பொற்காலம், அன்புள்ள ரஜினிகாந்த், சேதுபதி ஐபிஎஸ், பாரதி கண்ணாம்மா, தாய் மாமன், கூலி, செங்கோட்டை, ஆனந்த பூங்காற்றே",1976,45,"சென்னை, தமிழ்நாடு, இந்தியா",நடிகை,55
சோனியா அகர்வால்,2003,காதல் கொண்டேன்,பெண்,"புதுப்பேட்டை, திருட்டுப்பயலே, ஒரு நாள் ஒரு கனவு, ஒரு கல்லூரியின் கதை, 7ஜி ரெயின்போ காலணி, மதுர, கோவில், சக்செஸ் (Success), காதல் கொண்டேன்",1982,39,பஞ்சாப் இந்தியா,நடிகை,36
நமிதா,2004,எங்கள் அண்ணா,பெண்,"ஏய் , சாணக்யா, பம்பரக் கண்ணாலே , ஆணை, இங்கிலீஷ்காரன், கோவை பிரதர்ஸ், பச்சைக் குதிரை, தகப்பன்சாமி, நீ வேணுண்டா செல்லம் , வியாபாரி, நான் அவன் இல்லை, அழகிய தமிழ் மகன், பாண்டி, இந்திரா , பெருமாள், தீ, 1977 , பில்லா , இந்திரவிழா, ஜகன்மோகினி, தேசதுரோகி",1981,40," குஜராத் மாநிலம், சூரத்",நடிகை,55
சில்க் ஸ்மிதா,1979, வண்டி சக்கரம்,பெண்,"இணையே தேடி, வண்டி சக்கரம், அலைகள் ஓய்வதில்லை, மூன்றாம் பிறை, சகலகலா வல்லவன்,  பட்டணத்து ராஜாக்கள்,  தீர்ப்பு, தனிக்காட்டு ராஜா",1960,60,"ஏலூரு, ஆந்திரப்பிரதேசம், இந்தியா",நடிகை,43
கனிகா,2002,ஸ்டார்,பெண்,"ஃபைவ் ஸ்டார், எதிரே, ஆட்டோகிராப், டான்சர்,  வரலாறு, ",1982,39,"மதுரை, தமிழ் நாடு, இந்தியா","நடிகை, பின்னணிப் பாடகி, தொகுப்பாளினி",33
கனகா,1989,கரகாட்டக்காரன் ,பெண்,"கரகாட்டக்காரன், எதிர்காற்று, அதிசய பிறவி, கும்பக்கரை தங்கய்யா, தாலாட்டு கேக்குதம்மா, சாமுண்டி, கோயில் காளை, சக்கரை தேவன் , கிளிப்பேச்சு கேட்கவா, ஜல்லிக்கட்டுக்காளை , சக்திவேல், பெரிய குடும்பம், சிம்ம ராசி, விரலுக்கேத்த வீக்கம்",1973,48,"சென்னை, தமிழ்நாடு, இந்தியா", நடிகை,34
வசுந்தரா தாஸ்,1999,ஹேராம்,பெண்,"ஹேராம், மான்சூன் வெட்டிங், சிட்டிசன், ராவண பிரபு ",1977,53,"பெங்களூர், இந்தியா","நடிகை, பின்னணிப் பாடகி",10
பானுப்ரியா,1983,மெல்ல பேசுங்கள்,பெண்,"மெல்ல பேசுங்கள், தென்றல் தொடாத மலர், ஆராரோ ஆரிராரோ, சிறையில் பூத்த சின்ன மலர், புது மனிதன், கோபுர வாசலிலே, சத்ரியன், பொன்டாட்டி சொன்னா கேட்கனும், மகுடம் ",1966,55,"ஆந்திரப் பிரதேசம், இந்தியா",நடிகை,8
திரிஷா,2002,லேசா லேசா,பெண்,"சாமி, வர்ஷம், கில்லி , அத்தடு, நுவ்வொஸ்தானண்டே நேனொத்தண்டானா ,உனக்கும் எனக்கும், ஆடவாரி மாடலகு அர்தாலே வேறுலே, கிரீடம் , குருவி, மங்காத்தா ",1983,38," சென்னை , தமிழ் நாடு","நடிகை, மாடல் அழகி",67
ரம்யா கிருஷ்ணன்,1983, வெள்ளை மனசு,பெண்,"வெள்ளை மனசு, படிக்காதவன், முதல் வசந்தம், சர்வம் சக்திமயம், பேர் சொல்லும் பிள்ளை, குங்குமக் கோடு, காதல் ஓய்வதில்லை, கேப்டன் பிரபாகரன் ",1970,51," சென்னை , தமிழ் நாடு",நடிகை,75
கௌதமி,1988,குரு சிஷ்யன்,பெண்,"ரிக்சா மாமா, பணக்காரன், குரு சிஷ்யன், அபூர்வ சகோதரர்கள், ராஜா சின்ன ரோஜா, ராஜா கைய வச்சா, ருத்ரா, தேவர் மகன், நம்மவர்",1965,56,"ஸ்ரீகாகுளம்,சிறீகாகுளம் மாவட்டம், ஆந்திரப் பிரதேசம், இந்தியா","நடிகை,தொலைக்காட்சி தொகுப்பாளர், ஆடை வடிவமைப்பாளர், தொலைக்காட்சி நாடக நடிகை, தொலைக்காட்சி நிகழ்ச்சி நடுவர்",56
பூஜா,2003,ஜே ஜே,பெண்,"ஜே ஜே, அட்டகாசம், உள்ளம் கேட்குமே,  ஜித்தன்,  பட்டியல், தம்பி, தகப்பன்சாமி,  பொறி, பந்தயக் கோழி, ஓரம் போ,  நான் கடவுள்",1981,40,கொழும்பு இலங்கை,நடிகை,24
